CommandeID,ClientID,ProduitID,DateCommande,Quantité,Total
164,23,11,2025-04-14,3,330
165,24,4,2025-05-29,2,248
166,25,1,2025-02-27,2,430
167,6,7,2025-02-26,1,170
168,49,16,2025-06-11,2,220
169,14,6,2025-03-05,2,364
170,46,4,2025-02-12,2,248
171,42,9,2025-07-14,3,171
172,27,20,2025-03-08,3,867
173,38,9,2025-06-02,1,57
174,4,17,2025-03-03,2,590
175,22,10,2025-04-22,2,444
176,36,8,2025-04-04,1,285
177,37,12,2025-06-23,1,141
178,27,17,2025-05-30,3,885
179,44,3,2025-05-02,3,282
180,12,6,2025-01-26,1,182
181,27,17,2025-03-27,2,590
182,10,1,2025-06-09,3,645
183,41,7,2025-02-24,1,170
184,38,9,2025-05-10,1,57
185,32,13,2025-05-06,3,741
186,5,14,2025-05-16,3,369
187,14,14,2025-06-27,2,246
188,47,12,2025-05-04,3,423
189,17,2,2025-04-26,3,780
190,22,18,2025-07-05,1,210
191,3,19,2025-02-20,2,72
192,8,3,2025-07-04,3,282
193,3,3,2025-06-21,2,188
194,43,1,2025-05-25,1,215
195,48,5,2025-04-07,3,228
196,5,6,2025-01-27,3,546
197,26,1,2025-04-11,2,430
198,34,4,2025-03-19,2,248
199,16,4,2025-02-25,2,248
200,34,18,2025-05-03,1,210
